IDE;programa;IDG;corte1;corte2;prom;fallas;fallaP;curso;creditos;IDP;nestud;periodo;a–o;jornada;profesor;dedicacion;nsala;sala;horaExamen;inicio;final;nota;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
1720;Ingenier’a Electr—nica;G12;3;3,5;3,25;2;11,76;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;5;Dise–o Y Simulaci—n Sala II;9:00 a.m.;09:11:00;10:00:00;1;0,5;0;0;0;0;0;0;0;0,5;0
1737;Ingenier’a Ambiental;G12;0;0;0;0;0;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;7;Centro de Computo Sala 11;9:00 a.m.;;;;;;;;;;;;;
1738;Ingenier’a Electr—nica;G12;4,5;4,5;4,5;2;11,76;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;4;Dise–o Y Simulaci—n Sala I;9:00 a.m.;09:15:00;10:02:00;3,5;0;0;0;0,5;0,5;0,5;0,5;0,5;0,5;0,5
1757;Ingenier’a De Sistemas;G12;4;3,5;3,75;10;58,82;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;9;Centro de Computo Sala 13;9:00 a.m.;09:13:00;10:42:00;2;0;0;0;0;0;0;0,5;0,5;0,5;0,5
1790;Ingenier’a Electr—nica;G12;4;3,5;3,75;0;0;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;3;Casa Kra 4ta Sal—n 301;9:00 a.m.;09:12:00;09:59:00;2,5;0,5;0,5;0,5;0;0,5;0;0;0;0,5;0
1811;Ingenier’a Electr—nica;G12;4,5;4,5;4,5;0;0;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;4;Dise–o Y Simulaci—n Sala I;9:00 a.m.;09:11:00;10:02:00;4;0;0,5;0,5;0,5;0,5;0,5;0;0,5;0,5;0,5
1865;Ingenier’a Mec‡nica;G12;4;3,5;3,75;4;23,53;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;1;Casa Kra 4ta Sal—n  101;9:00 a.m.;09:29:00;10:08:00;1;0,5;0;0;0;0;0,5;0;0;0;0
1883;Ingenier’a Industrial;G12;5;5;5;0;0;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;7;Centro de Computo Sala 11;9:00 a.m.;09:14:00;09:55:00;4;0;0,5;0;0,5;0,5;0,5;0,5;0,5;0,5;0,5
1896;Ingenier’a Ambiental;G12;0;0;0;0;0;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;6;Centro de Computo Sala 10;9:00 a.m.;;;;;;;;;;;;;
1921;Ingenier’a Ambiental;G12;4;3,5;3,75;0;0;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;8;Centro de Computo Sala 12;9:00 a.m.;09:14:00;10:41:00;2,5;0,5;0;0,5;0,5;0;0,5;0,5;0;0;0
1924;Ingenier’a Ambiental;G12;4,5;3;3,75;0;0;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;9;Centro de Computo Sala 13;9:00 a.m.;09:18:00;10:45:00;1,5;0;0;0,5;0;0;0;0,5;0;0,5;0
1992;Ingenier’a Electr—nica;G12;4,5;4,5;4,5;0;0;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;2;Casa Kra 4ta Sal—n 204;9:00 a.m.;09:10:00;10:11:00;2;0;0,5;0;0,5;0;0,5;0;0,5;0;0
2003;Ingenier’a Industrial;G12;4,5;4,5;4,5;0;0;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;6;Centro de Computo Sala 10;9:00 a.m.;09:23:00;10:32:00;2;0,5;0;0;0;0,5;0;0;0;0,5;0,5
2008;Ingenier’a Ambiental;G12;3;4,5;3,75;4;23,53;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;9;Centro de Computo Sala 13;9:00 a.m.;09:13:00;10:14:00;1,5;0;0;0;0,5;0,5;0,5;0;0;0;0
2016;Ingenier’a Ambiental;G12;3,5;0;1,75;26;152,94;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;1;Casa Kra 4ta Sal—n  101;9:00 a.m.;;;;;;;;;;;;;
2046;Ingenier’a De Sistemas;G12;4;2,5;3,25;0;0;Algoritmos y programaci—n;3;218;21;2;2017;d’a;Dol—n;TC;10;Centro de Computo Sala 14;9:00 a.m.;09:12:00;10:18:00;1;0;0;0,5;0;0;0;0;0,5;0;0
1502;Ingenier’a De Sistemas;G16;2,5;3,5;3;0;0;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;23;Casa Kra 4ta Sal—n 301;6:00 p.m.;18:30:00;19:09:00;2;0;0,5;0;0;0,5;;0;0,5;0,5;0
1557;Ingenier’a De Sistemas;G16;3,5;4;3,75;0;0;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;31;Torre P Sal—n 303;6:00 p.m.;18:13:00;19:43:00;3;0,5;0,5;0;0;0;0;0,5;0,5;0,5;0,5
1586;Ingenier’a De Sistemas;G16;3;2,5;2,75;3;17,65;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;31;Torre P Sal—n 303;6:00 p.m.;;;;;;;;;;;;;
1597;Ingenier’a De Sistemas;G16;2,5;2,5;2,5;0;0;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;24;Centro de Computo Sala 6;6:00 p.m.;;;;;;;;;;;;;
1603;Ingenier’a De Sistemas;G16;3;3,5;3,25;0;0;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;25;Centro de Computo Sala 10;6:00 p.m.;18:18:00;19:01:00;2;0;0;0,5;0;0;0;0,5;0,5;0;0,5
1606;Ingenier’a De Sistemas;G16;0;0;0;0;0;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;26;Centro de Computo Sala 11;6:00 p.m.;;;;;;;;;;;;;
1647;Ingenier’a De Sistemas;G16;0;0;0;37;217,65;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;27;Centro de Computo Sala 7;6:00 p.m.;;;;;;;;;;;;;
1697;Ingenier’a De Sistemas;G16;3;2,5;2,75;0;0;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;27;Centro de Computo Sala 7;6:00 p.m.;18:21:00;19:23:00;1;0,5;0,5;0;0;0;0;0;0;0;0
1698;Ingenier’a De Sistemas;G16;4;3;3,5;6;35,29;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;26;Centro de Computo Sala 11;6:00 p.m.;18:27:00;19:29:00;2;0,5;0;0;0,5;0;0,5;0,5;0;0;0
1705;Ingenier’a De Sistemas;G16;3;4;3,5;0;0;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;22;Casa Kra 4ta Sal—n 204;6:00 p.m.;18:24:00;19:46:00;3,5;0,5;0,5;0;0,5;0,5;0;0,5;0,5;0,5;0
1847;Ingenier’a De Sistemas;G16;4;3,5;3,75;1;5,88;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;27;Centro de Computo Sala 7;6:00 p.m.;18:25:00;19:30:00;2,5;0;0;0;0;0,5;0;0,5;0,5;0,5;0,5
1862;Ingenier’a De Sistemas;G16;3;3;3;0;0;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;30;Torre P Sal—n 201;6:00 p.m.;18:23:00;18:49:00;0;0;0;0;0;0;0;0;0;0;0
1871;Ingenier’a De Sistemas;G16;3;2,5;2,75;0;0;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;21;Casa Kra 4ta Sal—n  101;6:00 p.m.;18:19:00;19:35:00;2;0,5;0;0;0,5;0,5;0;0,5;0;0;0
1918;Ingenier’a Ambiental;G16;3;3,5;3,25;4;23,53;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;21;Casa Kra 4ta Sal—n  101;6:00 p.m.;18:14:00;19:04:00;1;0;0;0;0;0;0;0;0,5;0;0,5
1929;Ingenier’a De Sistemas;G16;3,5;3,5;3,5;0;0;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;28;Centro de Computo Sala 8;6:00 p.m.;18:25:00;19:03:00;3,5;0;0;0,5;0,5;0,5;0;0,5;0,5;0,5;0,5
2007;Ingenier’a De Sistemas;G16;3,5;4,5;4;2;11,76;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;24;Centro de Computo Sala 6;6:00 p.m.;18:28:00;19:27:00;2;0;0;0;0,5;0,5;0;0;0;0,5;0,5
2073;Ingenier’a De Sistemas;G16;4;5;4,5;0;0;Algoritmos y programaci—n;3;208;17;2;2017;noche;Menelao;C‡tedra;29;Centro de Computo Sala 9;6:00 p.m.;18:19:00;19:40:00;4,5;0,5;0,5;0;0,5;0,5;0,5;0,5;0,5;0,5;0,5
1503;Ingenier’a Ambiental;G4;4,5;3;3,75;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;14;Centro de Computo Sala 5;9:00 a.m.;09:05:00;10:13:00;1;0;0;0;0,5;0;0;0;0;0;0,5
1559;Ingenier’a Mec‡nica;G4;4;3,5;3,75;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;14;Centro de Computo Sala 5;9:00 a.m.;09:07:00;10:00:00;2;0;0,5;0;0,5;0,5;0;0;0;0,5;0
1613;Ingenier’a De Sistemas;G4;4,5;4,5;4,5;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;13;Centro de Computo Sala 4;9:00 a.m.;09:12:00;10:07:00;0;0;0;0;0;0;0;0;0;0;0
1614;Ingenier’a Ambiental;G4;4;3;3,5;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;18;Centro de Computo Sala 9;9:00 a.m.;09:05:00;09:44:00;1;0;0;0;0;0;0;0;0,5;0;0,5
1644;Ingenier’a Ambiental;G4;5;4,5;4,75;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;16;Centro de Computo Sala 7;9:00 a.m.;09:08:00;10:17:00;1;0;0;0;0;0,5;0;0;0;0;0,5
1666;Ingenier’a Ambiental;G4;5;3,5;4,25;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;19;Torre P Sal—n 201;9:00 a.m.;09:13:00;09:55:00;2,5;0;0,5;0;0;0;0,5;0,5;0;0,5;0,5
1689;Ingenier’a Electr—nica;G4;4,5;4,5;4,5;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;15;Centro de Computo Sala 6;9:00 a.m.;09:07:00;10:02:00;1;0;0;0,5;0;0;0;0;0;0;0,5
1714;Ingenier’a Industrial;G4;4,5;2,5;3,5;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;13;Centro de Computo Sala 4;9:00 a.m.;09:13:00;10:13:00;2;0;0;0;0;0;0,5;0,5;0,5;0,5;0
1746;Ingenier’a Ambiental;G4;4,5;4;4,25;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;15;Centro de Computo Sala 6;9:00 a.m.;09:20:00;10:30:00;2;0,5;0;0;0,5;0;0;0;0;0,5;0,5
1773;Ingenier’a Electr—nica;G4;4,5;0;2,25;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;17;Centro de Computo Sala 8;9:00 a.m.;09:27:00;10:07:00;1;0;0;0;0,5;0;0;0;0;0,5;0
1802;Ingenier’a Electr—nica;G4;4,5;3,5;4;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;18;Centro de Computo Sala 9;9:00 a.m.;09:05:00;09:46:00;2,5;0;0,5;0;0;0,5;0,5;0,5;0,5;0;0
1833;Ingenier’a Industrial;G4;4;3,5;3,75;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;12;Centro de Computo Sala 3;9:00 a.m.;09:23:00;10:24:00;1,5;0,5;0;0,5;0;0;0;0;0,5;0;0
1946;Ingenier’a Electr—nica;G4;4;3,5;3,75;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;16;Centro de Computo Sala 7;9:00 a.m.;09:08:00;09:55:00;1;0;0;0;0,5;0;0;0;0;0;0,5
1971;Ingenier’a De Sistemas;G4;4;0;2;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;14;Centro de Computo Sala 5;9:00 a.m.;;;;;;;;;;;;;
1977;Ingenier’a Ambiental;G4;4,5;3,5;4;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;11;Centro de Computo Sala 2;9:00 a.m.;09:07:00;09:45:00;1,5;0;0;0,5;0;0,5;0;0;0;0,5;0
1990;Ingenier’a Industrial;G4;4,5;3;3,75;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;11;Centro de Computo Sala 2;9:00 a.m.;09:15:00;09:58:00;1;0;0,5;0;0;0;0;0;0,5;0;0
2018;Ingenier’a Mec‡nica;G4;3,5;3;3,25;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;15;Centro de Computo Sala 6;9:00 a.m.;09:05:00;09:59:00;1;0;0;0,5;0;0;0;0,5;0;0;0
2029;Ingenier’a Electr—nica;G4;4,5;3,5;4;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;20;Torre P Sal—n 303;9:00 a.m.;09:20:00;10:21:00;0,5;0;0;0;0,5;0;0;0;0;0;0
2032;Ingenier’a Ambiental;G4;4;3;3,5;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;12;Centro de Computo Sala 3;9:00 a.m.;09:26:00;10:21:00;0,5;0;0;0;0;0;0;0;0;0,5;0
2079;Ingenier’a Ambiental;G4;4;3;3,5;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;20;Torre P Sal—n 303;9:00 a.m.;09:06:00;10:04:00;1;0;0;0,5;0,5;0;0;0;0;0;0
2082;Ingenier’a Ambiental;G4;4,5;3;3,75;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;17;Centro de Computo Sala 8;9:00 a.m.;09:11:00;09:52:00;0,5;0;0;0;0;0;0,5;0;0;0;0
2090;Ingenier’a Electr—nica;G4;3,5;0;1,75;0;0;Algoritmos y programaci—n;3;213;22;2;2017;d’a;Hefesto;C‡tedra;19;Torre P Sal—n 201;9:00 a.m.;09:10:00;09:50:00;2;0,5;0;0;0,5;0;0;0,5;0;0,5;0
1504;Ingenier’a Ambiental;G6;3,5;2,5;3;0;0;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;18;Centro de Computo Sala 9;9:00 a.m.;09:24:00;10:04:00;1;0;0,5;0;0,5;0;0;0;0;0;0
1527;Ingenier’a De Sistemas;G6;1,5;0;0,75;20;117,65;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;8;Centro de Computo Sala 12;9:00 a.m.;;;;;;;;;;;;;
1534;Ingenier’a Mec‡nica;G6;3,5;2,5;3;0;0;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;13;Centro de Computo Sala 4;9:00 a.m.;09:28:00;10:19:00;2,5;0,5;0,5;0;0;0,5;0;0,5;0;0,5;0
1609;Ingenier’a Mec‡nica;G6;4;3,5;3,75;2;11,76;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;9;Centro de Computo Sala 13;9:00 a.m.;09:13:00;09:54:00;2;0,5;0;0;0;0,5;0;0,5;0;0;0,5
1633;Ingenier’a Ambiental;G6;2,5;0;1,25;20;117,65;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;7;Centro de Computo Sala 11;9:00 a.m.;;;;;;;;;;;;;
1664;Ingenier’a Ambiental;G6;3;4;3,5;0;0;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;20;Torre P Sal—n 303;9:00 a.m.;09:10:00;10:00:00;2;0,5;0;0,5;0,5;0,5;0;0;0;0;0
1696;Ingenier’a Ambiental;G6;4;2;3;4;23,53;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;7;Centro de Computo Sala 11;9:00 a.m.;09:11:00;10:35:00;2,5;0,5;0,5;0;0;0,5;0;0;0;0,5;0,5
1727;Ingenier’a Mec‡nica;G6;2,5;2,5;2,5;0;0;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;11;Centro de Computo Sala 2;9:00 a.m.;09:08:00;10:30:00;1,5;0;0,5;0,5;0;0;0;0;0;0,5;0
1728;Ingenier’a De Sistemas;G6;3,5;4;3,75;0;0;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;13;Centro de Computo Sala 4;9:00 a.m.;09:13:00;09:38:00;3;0;0,5;0;0,5;0;0,5;0;0,5;0,5;0,5
1745;Ingenier’a Ambiental;G6;4;3,5;3,75;0;0;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;17;Centro de Computo Sala 8;9:00 a.m.;09:06:00;09:45:00;2;0;0,5;0;0;0;0;0,5;0,5;0;0,5
1764;Ingenier’a Mec‡nica;G6;3,5;3,5;3,5;0;0;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;20;Torre P Sal—n 303;9:00 a.m.;09:18:00;10:22:00;3,5;0;0;0,5;0,5;0,5;0,5;0,5;0,5;0;0,5
1767;Ingenier’a Electr—nica;G6;4,5;5;4,75;0;0;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;16;Centro de Computo Sala 7;9:00 a.m.;09:11:00;09:54:00;3;0;0,5;0,5;0,5;0,5;0;0;0;0,5;0,5
1775;Ingenier’a De Sistemas;G6;4;3;3,5;2;11,76;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;8;Centro de Computo Sala 12;9:00 a.m.;09:14:00;10:00:00;1,5;0;0;0;0,5;0;0;0,5;0;0,5;0
1801;Ingenier’a Mec‡nica;G6;2,5;2;2,25;0;0;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;12;Centro de Computo Sala 3;9:00 a.m.;09:24:00;10:16:00;2;0,5;0;0,5;0;0,5;0;0;0;0;0,5
1859;Ingenier’a De Sistemas;G6;4;4,5;4,25;0;0;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;14;Centro de Computo Sala 5;9:00 a.m.;09:19:00;10:52:00;5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5
1897;Ingenier’a Mec‡nica;G6;3;3;3;0;0;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;19;Torre P Sal—n 201;9:00 a.m.;09:05:00;10:02:00;0,5;0;0,5;0;0;0;0;0;0;0;0
1925;Ingenier’a Ambiental;G6;2,5;3;2,75;0;0;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;11;Centro de Computo Sala 2;9:00 a.m.;09:07:00;10:29:00;2,5;0;0,5;0,5;0,5;0;0;0,5;0;0,5;0
1927;Ingenier’a Ambiental;G6;3,5;4,5;4;0;0;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;12;Centro de Computo Sala 3;9:00 a.m.;09:25:00;10:19:00;2;0,5;0;0;0,5;0;0,5;0;0;0;0,5
1942;Ingenier’a Electr—nica;G6;3;4;3,5;0;0;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;15;Centro de Computo Sala 6;9:00 a.m.;09:06:00;10:17:00;0,5;0;0;0;0;0;0;0;0;0,5;0
1995;Ingenier’a Industrial;G6;2;0;0;0;0;Algoritmos y programaci—n;3;222;22;2;2017;d’a;Atenea;TC;17;Centro de Computo Sala 8;9:00 a.m.;;;;;;;;;;;;;
